1,216c1,216
> x = 0, y = 0, z = 5, result = 0.7091478052
> x = 1, y = 0, z = 5, result = 0.6387817215
> x = 2, y = 0, z = 5, result = 0.6212920096
> x = 3, y = 0, z = 5, result = 0.6212920096
> x = 4, y = 0, z = 5, result = 0.6387817215
> x = 5, y = 0, z = 5, result = 0.7091478052
> x = 0, y = 1, z = 5, result = 0.6387817215
> x = 1, y = 1, z = 5, result = 0.5397805213
> x = 2, y = 1, z = 5, result = 0.5134602195
> x = 3, y = 1, z = 5, result = 0.5134602195
> x = 4, y = 1, z = 5, result = 0.5397805213
> x = 5, y = 1, z = 5, result = 0.6387817215
> x = 0, y = 2, z = 5, result = 0.6212920096
> x = 1, y = 2, z = 5, result = 0.5134602195
> x = 2, y = 2, z = 5, result = 0.4835819616
> x = 3, y = 2, z = 5, result = 0.4835819616
> x = 4, y = 2, z = 5, result = 0.5134602195
> x = 5, y = 2, z = 5, result = 0.6212920096
> x = 0, y = 3, z = 5, result = 0.6212920096
> x = 1, y = 3, z = 5, result = 0.5134602195
> x = 2, y = 3, z = 5, result = 0.4835819616
> x = 3, y = 3, z = 5, result = 0.4835819616
> x = 4, y = 3, z = 5, result = 0.5134602195
> x = 5, y = 3, z = 5, result = 0.6212920096
> x = 0, y = 4, z = 5, result = 0.6387817215
> x = 1, y = 4, z = 5, result = 0.5397805213
> x = 2, y = 4, z = 5, result = 0.5134602195
> x = 3, y = 4, z = 5, result = 0.5134602195
> x = 4, y = 4, z = 5, result = 0.5397805213
> x = 5, y = 4, z = 5, result = 0.6387817215
> x = 0, y = 5, z = 5, result = 0.7091478052
> x = 1, y = 5, z = 5, result = 0.6387817215
> x = 2, y = 5, z = 5, result = 0.6212920096
> x = 3, y = 5, z = 5, result = 0.6212920096
> x = 4, y = 5, z = 5, result = 0.6387817215
> x = 5, y = 5, z = 5, result = 0.7091478052
